flex_index,flex_middle,flex_ring,accel_x,accel_y,accel_z,gyro_x,gyro_y,label
4018,2885,2887,9892,6488,11928,-226,194,victory
4017,2909,2882,10156,6304,11964,132,732,victory
4016,2923,2939,10160,5936,12128,-291,137,victory
4018,2964,2975,10704,5172,11868,-843,1014,victory
4016,3011,2927,10540,6352,11692,-147,529,victory
4002,2871,2839,10292,6608,11644,134,804,victory
4026,2999,2885,10856,6508,11500,117,1530,victory
4019,3017,2853,9976,7332,11316,-265,963,victory
4017,2963,2901,10584,6788,11312,-1118,1152,victory
4025,2946,2903,10956,6516,10760,-71,702,victory
4020,3035,2992,11384,6584,10636,-285,707,victory
4016,2927,3055,11784,6184,10464,-93,1921,victory
4042,3014,3313,10760,6976,10856,-344,3337,victory
4049,3009,3345,8716,5872,12320,-2217,2298,victory
4021,2922,3520,9068,6848,12280,-1407,-1080,victory
4011,3107,3363,9640,6996,11868,-908,1003,victory
4013,3054,3215,10664,6900,11312,-209,13,victory
3999,2878,3178,9520,7616,12036,1115,4447,victory
4018,2901,3292,9988,6580,11908,2271,-2115,victory
4095,3011,3261,14632,14108,10768,6939,209,victory
4095,3197,3168,2608,12772,7460,9677,-4344,victory
4095,3200,2973,-7604,14264,640,-1019,3697,victory
4095,3199,3062,2284,17436,1436,-3032,1617,victory
4095,3190,2921,1184,14944,2192,-1931,2230,victory
4095,3197,2896,712,16456,2668,1739,-3777,victory
4095,3197,2841,1044,16592,1816,645,1065,victory
4095,3190,2879,2060,16704,2276,-1106,2071,victory
4095,3191,2862,-880,16276,2204,-1711,3587,victory
4095,3189,2857,-672,16456,2612,-875,1940,victory
4095,3195,2880,-36,16656,2900,538,830,victory
4095,3193,2913,-412,16792,2016,-729,-985,victory
4095,3186,2915,336,16512,2636,-1609,737,victory
4095,3184,2858,272,15408,3176,-3732,-2032,victory
4095,3188,2855,2128,14868,6812,-1954,2477,victory
4095,3184,2886,5584,14900,5500,-872,600,victory
4095,3184,2975,5904,14744,5388,-331,1357,victory
4095,3184,3022,5780,14688,6124,-692,880,victory
4095,3184,2993,7072,14020,6320,10,603,victory
4095,3184,2978,7132,14728,5744,181,1269,victory
4095,3184,3053,5420,14160,5760,178,6,victory
4095,3184,2998,4908,16332,4948,886,416,victory
4095,3183,2870,2112,15276,3720,2978,1345,victory
4095,3185,2833,4920,14992,-1856,1922,-32768,victory
4095,3194,2731,4660,16676,-2728,-1133,-7978,victory
4095,3196,2767,5120,14948,-3204,-754,5582,victory
4095,3190,2743,-6412,13068,7356,-8953,18127,victory
4095,3185,2642,-4312,14840,7928,-3185,-5734,victory
4095,3184,2638,2184,13628,10976,-3813,859,victory
4095,3184,2747,-2444,11020,12648,-602,2196,victory
4095,3186,3170,-2652,10880,12704,-1075,5356,victory
4095,3186,2902,-6608,6108,13796,-1481,-2051,victory
4095,3189,2885,-6096,6608,14644,-2467,1135,victory
4095,3184,3024,-5084,7256,14380,-1282,3741,victory
4095,3187,3024,-6656,7780,13620,1359,3885,victory
4095,3184,2704,-7588,7408,12896,158,809,victory
4095,3185,2919,-7424,8168,12992,-248,769,victory
4095,3185,2749,-8052,7796,12108,-880,1001,victory
4095,3187,2726,-7980,7140,12708,-781,879,victory
4095,3185,2733,-7516,7256,13152,-333,679,victory
4095,3186,2715,-8528,6928,12668,-353,872,victory
4093,3195,2800,-8156,6656,12948,935,-1335,victory
4095,3184,2879,-7792,6420,12388,-4521,-22,victory
4095,3181,2911,-4336,2776,15664,-4608,-4827,victory
4095,3142,2887,16,2528,15756,6005,-7484,victory
4095,3109,2907,496,3672,17516,-842,3925,victory
4095,3025,2914,-380,4972,16056,9,1223,victory
4095,3025,3002,-424,5360,15468,900,500,victory
4095,3017,3014,-740,6372,15808,1325,1414,victory
4095,3021,3225,-236,7208,15364,-563,418,victory
4095,3002,3296,-536,7456,15056,-673,842,victory
4095,3017,3113,-476,7052,15608,-681,856,victory
4095,3006,3315,-276,7208,14976,612,1124,victory
4095,2985,3137,-596,7732,15148,-411,1171,victory
4095,2931,3362,-1096,7268,15324,-345,506,victory
4095,2989,3536,-1196,7064,15052,-694,487,victory
4095,2988,3280,-304,7120,16024,629,2183,victory
4095,2981,3359,-1116,6940,15436,62,1004,victory
4095,2970,3330,-1208,6352,15640,-399,524,victory
4095,2971,3265,-820,6244,15572,-333,382,victory
4095,2976,3289,-1040,6668,16608,2963,197,victory
4095,2973,3302,-2340,6992,14900,-873,734,victory
4095,2935,3408,-1324,6716,15380,-523,1214,victory
4095,2914,3248,-1416,7092,15804,1216,-89,victory
4095,2967,3277,260,7264,15304,-3352,-6633,victory
4095,2992,3312,-320,8256,14016,-419,-152,victory
4095,2997,3296,-116,8392,14632,-671,496,victory
4095,2993,3438,-744,7816,14804,-716,2114,victory
4095,2962,3376,-536,7500,14792,-347,205,victory
4095,2837,3433,264,8664,12108,1034,3722,victory
4095,2903,2913,1264,10624,12612,524,2342,victory
4095,2798,2732,1260,11448,12496,34,902,victory
4095,2706,2688,1056,11932,12020,-562,1858,victory
4095,2896,2990,-160,7264,14104,-2782,11015,victory
4095,3114,3568,-228,4768,16904,-874,-5835,victory
4095,3031,3501,4612,7416,13564,-3431,-4054,victory
4095,3006,3537,9092,8360,12168,-2114,-20,victory
4095,3006,3554,8896,7808,12420,870,495,victory
4095,2987,3443,8628,7104,12320,-753,1012,victory
4095,2983,3414,8892,6904,12532,-56,-116,victory
4095,2992,3328,10648,7728,11708,-1373,-2991,victory
4095,2983,3343,10216,5524,11712,-87,100,victory
4095,2981,3281,10916,6104,11460,-27,2028,victory
4095,2942,3389,10336,6160,11528,1524,-240,victory
4094,2747,3583,9164,7144,11656,2104,3336,victory
4085,2761,3408,9780,7000,11212,-827,151,victory
4095,3177,3306,-364,16528,2396,-345,1201,victory
4095,3168,3473,-48,16236,2444,-768,1069,victory
4095,3168,3215,544,16624,2768,220,-2709,victory
4095,3171,3206,-556,16368,1844,6722,-5090,victory
4095,3170,3316,-4816,15864,-2080,-1207,-13685,victory
4095,3181,3395,-4524,15812,-2048,868,91,victory
4095,3173,3545,-2632,16156,-1932,381,4226,victory
4095,3174,3450,-2260,15428,-1432,-1686,-415,victory
4095,3173,3319,-3512,15668,-3624,3470,2224,victory
4095,3171,3283,-3812,15036,-4396,23,2856,victory
4095,3166,3317,-4088,15432,-4976,-895,754,victory
4095,3169,3248,-2708,14976,1072,2998,3309,victory
4095,3167,3268,-2432,15216,-3740,-7256,1227,victory
4095,3167,3285,-3368,15136,-4456,3412,139,victory
4095,3184,3281,-3604,15620,-5184,-3720,4395,victory
4095,3211,3312,-1248,16028,-3156,-201,-1183,victory
4095,3205,3221,-560,15916,-3560,-173,1411,victory
4095,3202,3178,-188,16004,-3796,-1634,3849,victory
4095,3193,3041,60,16116,-3860,-328,17411,victory
4095,3185,2991,-3716,17848,-6892,-4156,-25559,victory
4095,3197,3043,4276,15972,988,2835,5849,victory
4095,3186,3056,1376,15428,-2976,4042,878,victory
4095,3130,2963,-2928,15220,-6400,2721,3882,victory
4095,3191,2911,-1392,15524,-5036,-852,-253,victory
4095,3216,3100,364,15836,-6020,-7254,14503,victory
4095,3216,3009,3404,15432,-8,-9785,13076,victory
4095,3200,2999,3092,14640,5132,7979,-21900,victory
4095,3209,2970,2292,16568,-2060,-734,2075,victory
4095,3216,2963,5416,17136,-1616,-1917,28019,victory
4095,3194,2939,1232,16064,3792,1891,434,victory
4095,3195,3568,2932,15920,1224,-3163,1650,victory
4095,3200,3543,1632,15876,1004,-2302,8347,victory
4095,3201,3276,1656,16568,1588,2212,188,victory
4095,3201,3175,952,16916,2980,-679,1645,victory
4095,3195,3225,2460,17072,2064,-1223,-275,victory
4095,3195,3281,1488,16032,1544,-1664,-1082,victory
4095,3194,3415,1884,16072,1640,2317,1724,victory
4095,3190,3391,2316,16308,2676,750,-6,victory
4095,3194,3399,1936,16452,1152,-628,509,victory
4095,3195,3474,-2356,15784,2296,23,3358,victory
4095,3192,3467,1152,16088,1428,-597,7,victory
4095,3187,3318,1472,16532,-148,-252,1178,victory
4095,3187,3439,1256,16620,192,159,279,victory
4095,3192,3259,1328,16528,428,-163,2485,victory
4095,3179,2990,920,16560,-816,-2289,1414,victory
4095,3152,3214,-920,16688,-408,584,471,victory
4095,3153,3145,6852,15620,-1048,1593,2773,victory
4095,3106,3205,4760,16616,760,-4058,1988,victory
4095,3120,3376,-5012,14288,2996,-2708,-5862,victory
4095,3134,3239,4928,12664,6140,-11399,14674,victory
4095,3175,3147,5252,8196,14132,-21057,-4025,victory
4095,3174,3149,10248,-2772,20932,23567,16396,victory
4095,3167,3282,1336,15200,6224,14399,17821,victory
4095,3177,3138,-1808,15592,4252,-1951,12114,victory
4095,3170,3115,5880,15760,-2636,-1972,-4872,victory
4095,3167,3160,1756,14420,-732,-9319,-32768,victory
4095,3168,3335,8556,17144,-852,-10833,-24446,victory
4095,3174,3325,-896,15096,-3260,-214,32767,victory
4095,3173,3125,-6936,14932,-788,-3046,8269,victory
4095,3165,3167,5020,14412,-5112,2697,-32768,victory
4095,3165,3457,4416,16808,-1448,-1615,15330,victory
4095,3218,3478,828,16936,-308,-1104,4561,victory
4095,3242,3321,3712,16840,1684,-7153,22547,victory
4095,3229,3345,-2600,15632,5068,-1709,4856,victory
4095,3227,3504,-980,16096,4788,-620,8734,victory
4095,3216,3376,-792,17876,3604,-673,24728,victory
4095,3197,3259,2072,12152,-5952,-1010,-32768,victory
4095,3197,3232,3200,14236,2560,-4296,-7953,victory
4095,3206,3512,5132,19332,604,-2340,32767,victory
4095,3198,3360,-4732,14236,6468,-4638,1453,victory
4095,3194,3490,-4188,14184,-776,14675,-32768,victory
4095,3197,3425,2516,15876,2352,-4073,-2542,victory
4095,3195,3399,-2232,15256,-11076,-3814,32767,victory
4095,3200,3437,-12620,15136,-2328,-295,11337,victory
4095,3190,3250,3920,14056,8924,-7898,4717,victory
4095,3190,3247,-1704,14784,11576,-579,-32768,victory
4095,3184,3293,7136,13216,272,-25295,-28948,victory
4095,3186,3327,4908,16636,2232,2548,5259,victory
4095,3178,3354,9968,15944,4256,684,10644,victory
4095,3184,3445,17036,748,1868,-298,1325,victory
4095,3184,3347,14440,2708,4236,1732,2524,victory
4095,3185,3376,-5664,17048,2428,11895,25281,victory
4095,3184,3115,-3260,15168,4156,-8920,10148,victory
4095,3187,3290,-772,13704,2364,274,-32768,victory
4095,3200,2982,-4680,16952,-1044,2740,-5023,victory
4095,3182,3421,-856,16728,-152,3804,1294,victory
4095,3169,3315,7232,18352,-388,-2701,13661,victory
